"LocationTypeCodes","LocationCode","Name","Description","FulfillmentTypes","Is Disabled?","Address1","Address2","Address3","Address4","AddressType","CityOrTown","CountryCode","PostalOrZipCode","StateOrProvince","Shipping Contact CompanyOrOrganization","Shipping Contact Email","Shipping Contact FirstName","Shipping Contact LastNameOrSurname","Shipping Contact MiddleNameOrInitial","Shipping Contact PhoneNumber","Fax","Phone","Notes","SupportsInventory","AllowFulfillmentWithNoStock","Tags","Hours of operation - Sunday","Hours of operation - Monday","Hours of operation - Tuesday","Hours of operation - Wednesday","Hours of operation - Thursday","Hours of operation - Friday","Hours of operation - Saturday","Last Modified Date","Latitude","Longitude"
"STOR","ALB","Albuquerque","","Direct Ship, In Store Pickup","No","2100 Louisiana Blvd NE","","","","Commercial","Albuquerque","US","87110","AZ","Mystic","mysticsports@yopmail.com","Winrock","Supervisor","","505-505-5055","","505-505-5055","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","35.1075","-106.576"
"STOR","ATLANTA","Atlanta","","Direct Ship, In Store Pickup","No","1380 Atlantic Dr NW","","","","Commercial","Atlanta","US","30363","GA","Mystic","mysticsports@yopmail.com","Atlanta","Supervisor","","404-440-5506","","404-440-5506","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:29 PM","33.8412","-84.3856"
"STOR","AUSTIN","Austin","","Direct Ship, In Store Pickup","No","3210 Kramer Ln","","","","Commercial","Austin","US","78758","TX","Mystic","mysticsports@yopmail.com","Austin","Supervisor","","512-339-3299","","512-339-3299","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:24 PM","30.3788","-97.7111"
"STOR","BALTIMORE","Baltimore","","Direct Ship, In Store Pickup","No","711 W 40th St","","","","Commercial","Baltimore","US","21211","MD","Mystic","mysticsports@yopmail.com","Baltimore","Supervisor","","410-410-4100","","410-410-4100","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","39.3304","-76.6372"
"STOR","BATONROUGE","Baton Rouge","","Direct Ship, In Store Pickup","No","6401 Bluebonnet Blvd","","","","Commercial","Baton Rouge","US","70836","LA","Mystic","mysticsports@yopmail.com","Baton Rouge","Supervisor","","225-761-7228","","225-761-7228","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:28 PM","30.451","-91.1832"
"STOR","BOISE","Boise","","Direct Ship, In Store Pickup","No","131 N Milwaukee St","","","","Commercial","Boise","US","83704","ID","Mystic","mysticsports@yopmail.com","Boise","Supervisor","","208-208-2088","","208-208-2088","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","43.6302","-116.297"
"STOR","BOULDER","Boulder","","Direct Ship, In Store Pickup","No","1710 29th St","","","","Commercial","Boulder","US","80301","CO","Mystic","mysticsports@yopmail.com","Boulder","Supervisor","","303-303-3033","","303-303-3033","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:26 PM","40.0454","-105.213"
"STOR","BOZEMAN","Bozeman","","Direct Ship, In Store Pickup","No","2825 W Main St","","","","Commercial","Bozeman","US","59718","MT","Mystic","mysticsports@yopmail.com","Bozeman","Supervisor","","406-406-4066","","406-406-4066","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:25 PM","45.6465","-111.205"
"STOR","BRONX","Bronx","","Direct Ship, In Store Pickup","No","1441 Metropolitan Ave","","","","Commercial","Bronx","US","10462","NY","Mystic","mysticsports@yopmail.com","Bronx","Supervisor","","718-084-3223","","718-084-3223","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","40.841","-73.8572"
"STOR","BROOKLYN","Brooklyn","","Direct Ship, In Store Pickup","No","139 Flatbush Ave","","","","Commercial","Brooklyn","US","11217","NY","Mystic","mysticsports@yopmail.com","Brooklyn","Supervisor","","718-718-7188","","718-718-7188","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:31 PM","40.6844","-73.9804"
"STOR","CAMBRIDGE","Boston-Cambridge","","Direct Ship, In Store Pickup","No","100 Cambridgeside Pl","","","","Commercial","Cambridge","US","02141","MA","Mystic","mysticsports@yopmail.com","Cambridge","Supervisor","","617-293-9985","","617-293-9985","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:32 PM","42.3683","-71.0824"
"STOR","CHARLESTON","Charleston","","Direct Ship, In Store Pickup","No","708 Johnnie Dodds Blvd","","","","Commercial","Mt Pleasant","US","29464","SC","Mystic","mysticsports@yopmail.com","Charleston","Supervisor","","843-884-3321","","843-884-3321","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","32.8203","-79.8461"
"STOR","CHARLOTTE","Charlotte","","Direct Ship, In Store Pickup","No","1111 Metropolitan Ave","","","","Commercial","Charlotte","US","28204","NC","Mystic","mysticsports@yopmail.com","Charlotte","Supervisor","","704-445-3203","","704-445-3203","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:30 PM","35.2146","-80.8285"
"STOR","CHERRYCREEK","Denver-Cherry Creek","","Direct Ship, In Store Pickup","No","3000 E 1st Ave","","","","Commercial","Denver","US","80206","CO","Mystic","mysticsports@yopmail.com","Cherry Creek","Supervisor","","303-388-3989","","303-388-3989","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:27 PM","39.7285","-104.954"
"STOR","CHESTNUT","Boston-Chestnut","","Direct Ship, In Store Pickup","No","199 Boylston St","","","","Commercial","Chestnut Hill","US","02467","MA","Mystic","mysticsports@yopmail.com","Chestnut","Supervisor","","617-422-1058","","617-422-1058","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:32 PM","42.3185","-71.1571"
"STOR","CHEYENNE","Cheyenne","","Direct Ship, In Store Pickup","No","1400 Dell Range Blvd","","","","Commercial","Cheyenne","US","82009","WY","Mystic","mysticsports@yopmail.com","Cheyenne","Supervisor","","307-307-3077","","307-307-3077","","Yes","No","","10am-8pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9am-10pm","9/27/2017 7:52:26 PM","41.2074","-104.828"
