"MasterCatalogName","ProductCode","VariationCode","Enabled","ExtraPrice","FixedListPrice","FixedSalePrice","FixedMSRP","DeltaMSRP","FixedWeight","ExtraWeight","ExtraCost","FulfillmentTypes","MfgPartNo","UPC","DistPartNo","sleeping-bag-shape","sleeping-capacity","fits-up-to","length","lens-color","sock-height","material","frame-color","meat","gear-capacity","temperature-rating","gender","brand-colors","hat-style","number-of-exterior-pockets","shirt-size","shirt-style","inseam-in.-","shoe-size","fabric-type","faset-color","size","pant-rise","pant-size","metal-type","attribut-bd","finish"
"Mystic Outdoors Master","GLO_011","GLO_011-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_011","GLO_011-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_011","GLO_011-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_010","GLO_010-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_010","GLO_010-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_010","GLO_010-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","XXL","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Extra Large","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-3","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-2","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","Small","","","","",""
"Mystic Outdoors Master","GLO_009","GLO_009-1","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","XS","","","","",""
"Mystic Outdoors Master","GLO_008","GLO_008-6","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Orchid","","","","","","","","","Large","","","","",""
"Mystic Outdoors Master","GLO_008","GLO_008-5","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Orchid","","","","","","","","","Medium","","","","",""
"Mystic Outdoors Master","GLO_008","GLO_008-4","Yes","","","","","","","0.0000","0.00","","","","","","","","","","","","","","","","","Orchid","","","","","","","","","Small","","","","",""
