"MasterCatalogName","ProductType","AttributeCode","Type","VocabularyValue"
"Mystic Outdoors Master","Base","season","Property","Fall"
"Mystic Outdoors Master","Base","season","Property","Spring"
"Mystic Outdoors Master","Base","season","Property","Summer"
"Mystic Outdoors Master","Base","season","Property","Winter"
"Mystic Outdoors Master","Base","best-use","Property","Backcountry-Skiing"
"Mystic Outdoors Master","Base","best-use","Property","Backpacking"
"Mystic Outdoors Master","Base","best-use","Property","Casual"
"Mystic Outdoors Master","Base","best-use","Property","Bike-Commuting"
"Mystic Outdoors Master","Base","best-use","Property","Camping"
"Mystic Outdoors Master","Base","best-use","Property","Climbing"
"Mystic Outdoors Master","Base","best-use","Property","Cross-Country-Skiing"
"Mystic Outdoors Master","Base","best-use","Property","Downhill-Skiing"
"Mystic Outdoors Master","Base","best-use","Property","Fitness"
"Mystic Outdoors Master","Base","best-use","Property","Fishing"
"Mystic Outdoors Master","Base","best-use","Property","Hiking"
"Mystic Outdoors Master","Base","best-use","Property","Ice-Climbing"
"Mystic Outdoors Master","Base","best-use","Property","Mountaineering"
"Mystic Outdoors Master","Base","best-use","Property","Multisport"
"Mystic Outdoors Master","Base","best-use","Property","Rock-Climbing"
"Mystic Outdoors Master","Base","best-use","Property","Running"
"Mystic Outdoors Master","Base","best-use","Property","Snowboarding"
"Mystic Outdoors Master","Base","best-use","Property","Snowshoeing"
"Mystic Outdoors Master","Base","best-use","Property","Snowsports"
"Mystic Outdoors Master","Base","best-use","Property","Trail-Running"
"Mystic Outdoors Master","Base","best-use","Property","Travel"
"Mystic Outdoors Master","Base","best-use","Property","Urban-Cycling"
"Mystic Outdoors Master","Base","best-use","Property","Yoga"
"Mystic Outdoors Master","Base","best-use","Property","Watersports"
"Mystic Outdoors Master","Base","brand","Property","Arc-teryx"
"Mystic Outdoors Master","Base","brand","Property","ALPS-Moutaineering"
"Mystic Outdoors Master","Base","brand","Property","Ahnu"
"Mystic Outdoors Master","Base","brand","Property","Asolo"
"Mystic Outdoors Master","Base","brand","Property","Black-Diamond"
"Mystic Outdoors Master","Base","brand","Property","Bolle"
"Mystic Outdoors Master","Base","brand","Property","Biolite"
"Mystic Outdoors Master","Base","brand","Property","Big-Agnes"
"Mystic Outdoors Master","Base","brand","Property","CamelBak"
"Mystic Outdoors Master","Base","brand","Property","Camp-Chef"
"Mystic Outdoors Master","Base","brand","Property","Chaco"
"Mystic Outdoors Master","Base","brand","Property","Chaos"
"Mystic Outdoors Master","Base","brand","Property","Coleman"
"Mystic Outdoors Master","Base","brand","Property","Columbia"
"Mystic Outdoors Master","Base","brand","Property","Craghoppers"
"Mystic Outdoors Master","Base","brand","Property","Cycle-Dog"
"Mystic Outdoors Master","Base","brand","Property","Deuter"
"Mystic Outdoors Master","Base","brand","Property","ENO"
"Mystic Outdoors Master","Base","brand","Property","Esbit"
"Mystic Outdoors Master","Base","brand","Property","Eureka"
"Mystic Outdoors Master","Base","brand","Property","Eagle-Creek"
"Mystic Outdoors Master","Base","brand","Property","ExOfficio"
"Mystic Outdoors Master","Base","brand","Property","Exped"
"Mystic Outdoors Master","Base","brand","Property","Five-Ten"
"Mystic Outdoors Master","Base","brand","Property","Garmin"
"Mystic Outdoors Master","Base","brand","Property","GoalZero"
"Mystic Outdoors Master","Base","brand","Property","GoPro"
"Mystic Outdoors Master","Base","brand","Property","Gordini"
"Mystic Outdoors Master","Base","brand","Property","GoSun"
"Mystic Outdoors Master","Base","brand","Property","Gregory"
"Mystic Outdoors Master","Base","brand","Property","Haglofs"
"Mystic Outdoors Master","Base","brand","Property","Helly-Hansen"
"Mystic Outdoors Master","Base","brand","Property","HENNESSY"
"Mystic Outdoors Master","Base","brand","Property","Hi-Tec"
"Mystic Outdoors Master","Base","brand","Property","HOKA-ONE-ONE"
"Mystic Outdoors Master","Base","brand","Property","Icebreaker"
"Mystic Outdoors Master","Base","brand","Property","JanSport"
"Mystic Outdoors Master","Base","brand","Property","Jetboil"
"Mystic Outdoors Master","Base","brand","Property","Julbo"
"Mystic Outdoors Master","Base","brand","Property","Kammock"
"Mystic Outdoors Master","Base","brand","Property","KEEN"
"Mystic Outdoors Master","Base","brand","Property","Kelty"
"Mystic Outdoors Master","Base","brand","Property","KUHL"
"Mystic Outdoors Master","Base","brand","Property","La-Sportiva"
"Mystic Outdoors Master","Base","brand","Property","Lorpen"
"Mystic Outdoors Master","Base","brand","Property","Lowa"
"Mystic Outdoors Master","Base","brand","Property","Lucy"
"Mystic Outdoors Master","Base","brand","Property","MONTANE"
"Mystic Outdoors Master","Base","brand","Property","Mammut"
"Mystic Outdoors Master","Base","brand","Property","MTI"
"Mystic Outdoors Master","Base","brand","Property","Merrell"
"Mystic Outdoors Master","Base","brand","Property","MSR"
"Mystic Outdoors Master","Base","brand","Property","Mountain-Hardwear"
"Mystic Outdoors Master","Base","brand","Property","Manzella"
"Mystic Outdoors Master","Base","brand","Property","Mountain-Khakis"
"Mystic Outdoors Master","Base","brand","Property","Marmot"
"Mystic Outdoors Master","Base","brand","Property","Mtn-Hardwear"
"Mystic Outdoors Master","Base","brand","Property","Mystic"
"Mystic Outdoors Master","Base","brand","Property","Nau"
"Mystic Outdoors Master","Base","brand","Property","NEMO"
"Mystic Outdoors Master","Base","brand","Property","Oakley"
"Mystic Outdoors Master","Base","brand","Property","NRS"
"Mystic Outdoors Master","Base","brand","Property","Oboz"
"Mystic Outdoors Master","Base","brand","Property","Osprey"
"Mystic Outdoors Master","Base","brand","Property","Outdoor-Research"
"Mystic Outdoors Master","Base","brand","Property","Patagonia"
"Mystic Outdoors Master","Base","brand","Property","Pearl-Izumi"
"Mystic Outdoors Master","Base","brand","Property","Platypus"
"Mystic Outdoors Master","Base","brand","Property","prAna"
"Mystic Outdoors Master","Base","brand","Property","Primus"
"Mystic Outdoors Master","Base","brand","Property","Reflekt"
"Mystic Outdoors Master","Base","brand","Property","Roark-Revival"
"Mystic Outdoors Master","Base","brand","Property","Royal-Robbins"
"Mystic Outdoors Master","Base","brand","Property","Ruffwear"
"Mystic Outdoors Master","Base","brand","Property","Salomon"
"Mystic Outdoors Master","Base","brand","Property","SealLine"
"Mystic Outdoors Master","Base","brand","Property","Sea-to-Summit"
"Mystic Outdoors Master","Base","brand","Property","Serengeti"
"Mystic Outdoors Master","Base","brand","Property","Seattle-Sports"
"Mystic Outdoors Master","Base","brand","Property","Sherpa-Adventure-Gear"
"Mystic Outdoors Master","Base","brand","Property","Sierra-Designs"
"Mystic Outdoors Master","Base","brand","Property","Smith"
"Mystic Outdoors Master","Base","brand","Property","Smartwool"
"Mystic Outdoors Master","Base","brand","Property","Snow-Peak"
"Mystic Outdoors Master","Base","brand","Property","Solo-Stove"
"Mystic Outdoors Master","Base","brand","Property","Suunto"
"Mystic Outdoors Master","Base","brand","Property","Tentsile"
"Mystic Outdoors Master","Base","brand","Property","The-North-Face"
"Mystic Outdoors Master","Base","brand","Property","Tifosi"
"Mystic Outdoors Master","Base","brand","Property","Timberland"
"Mystic Outdoors Master","Base","brand","Property","Thorlo"
"Mystic Outdoors Master","Base","brand","Property","Toad-Co"
"Mystic Outdoors Master","Base","brand","Property","Vasque"
"Mystic Outdoors Master","Base","brand","Property","White-Sierra"
"Mystic Outdoors Master","Base","brand","Property","Timbuk2"
"Mystic Outdoors Master","Base","availability","Property","24hrs"
"Mystic Outdoors Master","Base","availability","Property","24-48hrs"
"Mystic Outdoors Master","Base","availability","Property","24-72hrs"
"Mystic Outdoors Master","Base","availability","Property","1-2days"
"Mystic Outdoors Master","Base","availability","Property","2-3days"
"Mystic Outdoors Master","Base","availability","Property","1-2weeks"
"Mystic Outdoors Master","Base","availability","Property","2-3weeks"
"Mystic Outdoors Master","Base","availability","Property","2-4weeks"
"Mystic Outdoors Master","Base","availability","Property","4-6weeks"
"Mystic Outdoors Master","Tents","tent-type","Property","Backpacking-Tent"
"Mystic Outdoors Master","Tents","tent-type","Property","Camping-Tent"
"Mystic Outdoors Master","Tents","tent-type","Property","Roof-top-Tent"
"Mystic Outdoors Master","Tents","brand-colors","Property","Black"
"Mystic Outdoors Master","Tents","brand-colors","Property","Blue"
"Mystic Outdoors Master","Tents","brand-colors","Property","Green"
"Mystic Outdoors Master","Tents","brand-colors","Property","Orange"
"Mystic Outdoors Master","Tents","brand-colors","Property","Purple"
"Mystic Outdoors Master","Tents","brand-colors","Property","Red"
"Mystic Outdoors Master","Tents","brand-colors","Property","Teal"
"Mystic Outdoors Master","Tents","brand-colors","Property","White"
"Mystic Outdoors Master","Tents","brand-colors","Property","Yellow"
"Mystic Outdoors Master","Tents","faset-color","Property","Black"
"Mystic Outdoors Master","Tents","faset-color","Property","Blue"
"Mystic Outdoors Master","Tents","faset-color","Property","Green"
"Mystic Outdoors Master","Tents","faset-color","Property","Orange"
"Mystic Outdoors Master","Tents","faset-color","Property","Purple"
"Mystic Outdoors Master","Tents","faset-color","Property","Red"
"Mystic Outdoors Master","Tents","faset-color","Property","White"
"Mystic Outdoors Master","Tents","faset-color","Property","Yellow"
"Mystic Outdoors Master","Tents","pole-material","Property","Aluminum"
"Mystic Outdoors Master","Tents","pole-material","Property","Aluminum-DAC"
"Mystic Outdoors Master","Tents","pole-material","Property","Aluminum-DAC-Featherlite"
"Mystic Outdoors Master","Tents","pole-material","Property","DAC-Pressfit"
"Mystic Outdoors Master","Tents","pole-material","Property","Fiberglass"
"Mystic Outdoors Master","Tents","features","Property","Built-in-LED-lighting"
"Mystic Outdoors Master","Tents","features","Property","Insect-Repellent"
"Mystic Outdoors Master","Tents","features","Property","Packable"
"Mystic Outdoors Master","Tents","features","Property","Quick-Drying"
"Mystic Outdoors Master","Tents","features","Property","Sun-Protective-Fabric"
"Mystic Outdoors Master","Tents","features","Property","Waterproof"
"Mystic Outdoors Master","Tents","number-of-doors","Property","1-Door"
"Mystic Outdoors Master","Tents","number-of-doors","Property","0-Doors"
"Mystic Outdoors Master","Tents","number-of-doors","Property","2-Doors"
"Mystic Outdoors Master","Tents","number-of-doors","Property","3-Doors"
"Mystic Outdoors Master","Tents","number-of-doors","Property","4-Doors"
"Mystic Outdoors Master","Tents","seasons","Property","2-Season"
"Mystic Outdoors Master","Tents","seasons","Property","3-Season"
"Mystic Outdoors Master","Tents","seasons","Property","4-Season"
"Mystic Outdoors Master","Tents","seasons","Property","3---4-Season"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","1-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","2-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","3-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","4-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","5-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","6-Person"
"Mystic Outdoors Master","Tents","sleeping-capacity","Property","8--Person"
"Mystic Outdoors Master","Backpacks","bag-style","Property","Baby-Carrier"
"Mystic Outdoors Master","Backpacks","bag-style","Property","Backpack"
"Mystic Outdoors Master","Backpacks","bag-style","Property","Waistpack"
"Mystic Outdoors Master","Backpacks","bag-style","Property","Hydration-Pack"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Anthracite-Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Aquamarine"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Avatar-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Big-Sur-Blue"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Black"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Black/Lime-Punch"
"Mystic Outdoors Master","Backpacks","brand-colors","Property","Blue"
