"MasterCatalogName","ProductCode","ProductType","ProductUsage","ProductName","Price","SalePrice","Cost","MSRP Price","MAP","MAPEffectiveStartDate","MAPEffectiveEndDate","RestrictDiscount","RestrictDiscountStartDate","RestrictDiscountEndDate","VariationPricingMethod","ManufacturerPartNumber","UPC","DistributorPartNumber","IsTaxable","ManageStock","Ships by itself","OutOfStockBehavior","PackageWeight","PackageLength","PackageWidth","PackageHeight","FulfillmentTypes","ProductShortDescription","ContentFullProductDescription","ContentFullProductDescription2","ContentFullProductDescription3","SEOMetaTagTitle","SEOMetaTagDescription","SEOMetaTagKeywords","SEOFriendlyURL","price-list-entry-type","fill-power","interval-training","alarm","polarized","filter-medium","sleeping-bag-shape","pole-diameter-mm-","lash-tab","filter-type","altimeter","sleeping-capacity","pole-material","fits-up-to","availability","sleep-tracking","pool-lap-recognition","floor-area-sq-ft-","average-battery-life","popularity","lens-color","sleeve-length","flotation","average-boil-time-min-","power-output-to-device-ma-","average-heart-rate","lens-material","smart-device-notifications","preloaded-map","footwear-closure","bag-style","liquid-capacity-fl.-oz.-","sock-cushioning","footwear-height","product-crosssell","battery-included","sock-height","material","frame-color","battery-storage-capacity-mah","product-related","stopwatch","meat","frame-type","product-upsell","battery-type","stroke-recognition","minimum-trail-weight-lbs","fuel","programmable-routes","best-use","sun-protective-fabric","gear-capacity","moisture-wicking","quick-disconnect-tubing","temperature-rating","bite-valve-shut-off-switch","gender","number-of-burners","quick-drying","time-display","glove-type","brand","number-of-doors","rating","gps-satellite-detectable","tracks-calories-burned","recovery-advising","brand-colors","hat-style","number-of-exterior-pockets","track-steps","heart-rate-sensor-type","removes-destroys","number-of-poles","btu-total","heart-rate-target-zone-s-","trip-length-capacity","number-of-routes","r-value","charge-time-hrs-","uscg-classification","seasons","housing-material","number-of-watpoints","uv-protection","compass","servings-per-container","hrm-included-integrated","v02-max-estimate","output","compatible-fitness-accessories","shirt-size","vestibule-area-sq-ft-","customization","hydration-compatible","pace-alert","visor","illumination","display-size","shirt-style","visual-map-display","inseam-in.-","dry-bag-shape","packable","external-charge","shoe-size","insulated","watch-type","pack-loading","fabric-type","pad-thickness","insulation-type","faset-color","size","waterproof","features","sleeping-bag-compartment","palm-material","water-resistant-depth","weight-capacity-lbs-","pant-rise","weight","wide-mouth-opening","pant-size","zipper-location","pedometer-type","back-length","tent-type","metal-type","attribut-bd","finish","season","backorder-days","bazaarvoice-category"
"Mystic Outdoors Master","PFD_004","Personal Flotation Devices","Configurable","Moxie PFD - Women's","89.95","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","The MTI Moxie PFD is a women-specific, high-back life jacket with the remarkable MTI Adjust-a-Bust fit system.","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest&nbsp;<div>•	With removable pads under the bust, you can customize your fit&nbsp;</div><div>•	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling&nbsp;</div><div>•	Mesh lower back section increases ventilation&nbsp;</div><div>•	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen&nbsp;</div><div>•	Most phones will also fit in these pockets but remember to use a waterproof case&nbsp;</div><div>•	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape&nbsp;</div><div>•	Reflective trim and a tethered whistle enhance the safety features&nbsp;</div><div>•	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included)&nbsp;</div><div>•	Elastic sunglasses retention loops on front&nbsp;</div><div>• Imported</div>","","","Moxie PFD - Women's","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest •	With removable pads under the bust, you can customize your fit •	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling •	Mesh lower back section increases ventilation •	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen •	Most phones will also fit in these pockets but remember to use a waterproof case •	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape •	Reflective trim and a tethered whistle enhance the safety features •	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included) •	Elastic sunglasses retention loops on front • Imported","","moxie-pfd-women-s","","","","","","","","","False","","","","","","Usually Ships in 24 Hours","","","","","5","","","19 pounds","","","","","","","","","","","","","","","Nylon/closed-cell foam","","","","","","","","","","","","","Watersports","","","","","","","Women's","","","","","MTI","","5","","","","Turquoise/Caribe Print","","","","","","","","","","","","","Type III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","PFD_003","Personal Flotation Devices","Configurable","Moxie PFD","89.95","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","The Moxie PFD by MTI includes women-specific padding and a mesh back that's designed to clear high seat backs in kayaks and canoes.","•	Memory foam pads inside front of the vest personalize fit and add support&nbsp;<div>•	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit&nbsp;</div><div>•	400-denier nylon and 300-denier polyester shell offers durable good looks season after season&nbsp;</div><div>•	Open sides add ventilation and free arm movement&nbsp;</div><div>•	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest&nbsp;</div><div>•	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle&nbsp;</div><div>•	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light&nbsp;</div><div>•	Imported</div>","","","Moxie PFD","•	Memory foam pads inside front of the vest personalize fit and add support •	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit •	400-denier nylon and 300-denier polyester shell offers durable good looks season after season •	Open sides add ventilation and free arm movement •	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest •	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle •	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light •	Imported","","moxie-pfd","","","","","","","","","False","","","","","","Usually Ships in 24 Hours","","","","","4","","","19 pounds
16.5 pounds","","","","","","","","","","","","","","","Nylon/closed-cell foam","","","","","","","","","","","","","Watersports","","","","","","","Women's","","","","","MTI","","4","","","","Coral/Berry","","","","","","","","","","","","","Type III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","PFD_002","Personal Flotation Devices","Standard","Bob Youth PFD - Mariner - Kids'","78.95","","0.00","","","","","No","","","","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","With grownup fit and features, the MTI Bob Youth Mariner PFD is an outstanding performance PFD for kids weighing 50 - 90 lbs.","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold&nbsp;<div>•	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system&nbsp;</div><div>•	Low-profile sculpted foam body provides freedom of movement&nbsp;</div><div>•	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water&nbsp;</div><div>•	Handy cargo pocket for collecting treasures&nbsp;</div><div>•	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm&nbsp;</div><div>•	Generous reflective panels for high visibility&nbsp;</div><div>•	Imported</div>","","","Bob Youth PFD - Mariner - Kids'","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold •	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system •	Low-profile sculpted foam body provides freedom of movement •	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water •	Handy cargo pocket for collecting treasures •	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm •	Generous reflective panels for high visibility •	Imported","","bob-youth-pfd-mariner-kids-","","","","","","","","","False","","","","","","Usually Ships in 24 to 72 Hours","","","","","3","","","11.6 pounds","","","","","","","","","","","","","","","Nylon/closed-cell foam","","","","","","","","","","","","","Watersports","","","","","","","Kids'","","","","","MTI","","3","","","","Mariner","","","","","","","","","","","","","Type III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50-90 lb","","","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","PFD_001","Personal Flotation Devices","Configurable","cVest Mesh Back PFD","114.95","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","Enjoy unrestriced range of motion in the NRS cVest Mesh Back PFD, thanks to large arm openings that let you paddle with prowess, plus 8 adjustment points engineered with sea kayakers in mind.","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage&nbsp;<div>•	Large arm openings provide unrestricted range of motion when paddling and rowing&nbsp;</div><div>•	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab&nbsp;</div><div>•	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally&nbsp;</div><div>•	Back mesh panel provides cooling airflow and integrates well with high-back seats&nbsp;</div><div>•	Reflective tape keeps you visible in low-light conditions&nbsp;</div><div>•	8 adjustment points let you fine-tune your fit&nbsp;</div><div>•	Imported</div>","","","cVest Mesh Back PFD","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage •	Large arm openings provide unrestricted range of motion when paddling and rowing •	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab •	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally •	Back mesh panel provides cooling airflow and integrates well with high-back seats •	Reflective tape keeps you visible in low-light conditions •	8 adjustment points let you fine-tune your fit •	Imported","","cvest-mesh-back-pfd","","","","","","","","","True","","","","","","Usually Ships in 24 to 48 Hours","","","","","5","","","16.5 pounds","","","","","","","","","","","","","","","300-denier ripstop polyester","","","","","","","","","","","","","Watersports","","","","","","","Unisex","","","","","NRS","","5","","","","","","","","","","","","","","","","","Type III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","Kayak-3","Backpacks","Configurable","Wilderness Pamlico Kayak","450.00","","0.00","","","","","No","","","Fixed","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","","","","","Wilderness Pamlico Kayak","","","wilderness-pamlico-kayak","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","HKFT_035","Hiking Footwear","Configurable","Nepal Jr. Waterproof Hiking Boots - Kids'","65.00","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","Lace up the Hi-Tec Nepal Jr. waterproof hiking boots on your young hiker's feet and enjoy a summer filled with fun family adventures.","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days&nbsp;<div>•	Soft padded collars are comfortable around the ankles&nbsp;</div><div>•	Soft, cushioned insoles absorb shock&nbsp;</div><div>•	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow&nbsp;</div><div>•	Durable rubber outsoles can handle any trail

</div>","","","Nepal Jr. Waterproof Hiking Boots - Kids'","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days •	Soft padded collars are comfortable around the ankles •	Soft, cushioned insoles absorb shock •	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow •	Durable rubber outsoles can handle any trail","","nepal-jr.-waterproof-hiking-boots-kids-","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","4","","","","","","","","","","Lace-up","","","","Over-the-ankle","","","","","","","","","","","","","","","","","Hiking","","","","","","","Kids'","","","","","Hi-Tec","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","Made in USA
New Arrivals
Waterproof","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","HKFT_034","Hiking Footwear","Configurable","Koven Waterproof Hiking Boots - Kids'","70.00","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","Designed specifically for young adventurers, the kids' KEEN Koven Mid WP hiking boots are modeled after mom and dad's version, but with attention to the features a youngster needs.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","","Koven Waterproof Hiking Boots - Kids'","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-waterproof-hiking-boots-kids-","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","5","","","","","","","","","","Single-pull Lace","","","","Over-the-ankle","","","","","","","","","","","","","","","","","Hiking","","","","","","","Kids'","","","","","KEEN","","5","","","","Midnight Navy/Tawny Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","Made in USA
New Arrivals
Waterproof","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","HKFT_033","Hiking Footwear","Configurable","Koven Low Waterproof Hiking Shoes - Kids'","65.00","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","Low-cut for a lighter, more nimble feel than traditional hiking boots, young adventurers will love the comfort, support and waterproof protection of the KEEN Koven Low Waterproof Hiking Shoes.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","","Koven Low Waterproof Hiking Shoes - Kids'","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-low-waterproof-hiking-shoes-kids-","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","4","","","","","","","","","","Single-pull Lace","","","","Ankle","","","","","","","","","","","","","","","","","Hiking","","","","","","","Kids'","","","","","KEEN","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","Made in USA
New Arrivals
Waterproof","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","HKFT_032","Hiking Footwear","Configurable","Breeze 2.0 Waterproof Hiking Boots - Kids'","79.99","","0.00","","","","","No","","","Delta","","","","Yes","Yes","No","DisplayMessage","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","The Vasque Breeze 2.0 Waterproof hiking boots offer kids a lightweight, comfortable hiking boot built for trail adventures.","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures&nbsp;<div>•	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away&nbsp;</div><div>•	Protective toe bumpers shield toes and uppers from abrasion&nbsp;</div><div>•	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support&nbsp;</div><div>•	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain&nbsp;</div><div>•	Reflective hits for visibility in low light

</div>","","","Breeze 2.0 Waterproof Hiking Boots - Kids'","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures •	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away •	Protective toe bumpers shield toes and uppers from abrasion •	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support •	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain •	Reflective hits for visibility in low light","","breeze-2.0-waterproof-hiking-boots-kids-","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","4","","","","","","","","","","Lace-up","","","","Over-the-ankle","","","","","","","","","","","","","","","","","Hiking","","","","","","","Kids'","","","","","Vasque","","4","","","","Castlerock/Tender Shoots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","New Arrivals
Waterproof","","","","","","","","","","","","","","","","","",""
"Mystic Outdoors Master","DOG_001","Dog Accessories","Configurable","Float Coat Dog PFD","79.95","","0.00","","","","","No","","","Fixed","","","","Yes","Yes","No","AllowBackOrder","1.000","1.000","1.000","1.000","DirectShip & InStorePickup","Help your dog stay buoyant on the water next time you take her out for a paddle, swim or surf session with this Ruffwear Float Coat dog PFD. It's designed for dogs of all shapes and sizes.","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs&nbsp;<div>•	Strategically placed foam panels support a natural swimming position&nbsp;</div><div>•	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket&nbsp;</div><div>•	Strong handle lets you hoist your pup out of the water&nbsp;</div><div>•	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)</div>","","","Ruffwear Float Coat Dog PFD","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs •	Strategically placed foam panels support a natural swimming position •	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket •	Strong handle lets you hoist your pup out of the water •	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)","","ruffwear-float-coat-dog-pfd","","","","","","","","","","","","","","","Usually Ships in 24 Hours","","","","","4","","","","","","","","","","","","","","","","","","Nylon/foam buoyancy cells","","","","","","","","","","","","","Watersports","","","","","","","","","","","","Ruffwear","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
